This is a logfile generated by pires.obd.readerlat:42.65805558;long:-71.32294288;alt:-3.0;vehicleid:;readings:otocol AUTO=OK; Reset OBD=ATZELM327v1.3a; Echo Off=OK; Timeout=OK; Line Feed Off=OK
TIME;LATITUDE;LONGITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO
1462029717491;42.64010431;-71.35728512;4.0;;101kPa;90C;NODATA;59.2%;NODATA;1488RPM;NODATA;13.67g/s;null;null;NODATA;Gasoline;31C;NODATA;31km/h;NODATA;1.6%;00:07:58;21.6%;MIL is OFF0 codes;;67.5%;1.0%
1462029723535;42.63956914;-71.35713084;3.0;;101kPa;90C;NODATA;70.2%;NODATA;1544RPM;NODATA;18.95g/s;null;null;NODATA;Gasoline;30C;NODATA;41km/h;NODATA;0.8%;00:08:04;24.3%;MIL is OFF0 codes;;60.4%;1.0%
1462029729582;42.63891978;-71.35694048;5.0;;101kPa;91C;NODATA;45.5%;NODATA;2119RPM;NODATA;12.37g/s;null;null;NODATA;Gasoline;30C;NODATA;43km/h;NODATA;-5.5%;00:08:10;19.2%;MIL is OFF0 codes;;84.3%;0.0%
1462029735616;42.63827635;-71.35672908;9.0;;101kPa;91C;NODATA;25.1%;NODATA;1335RPM;NODATA;8.65g/s;null;null;NODATA;Gasoline;31C;NODATA;43km/h;NODATA;-2.3%;00:08:15;19.2%;MIL is OFF0 codes;;45.5%;1.0%
1462029741655;42.63762171;-71.3565386;11.0;;101kPa;90C;NODATA;72.2%;NODATA;1409RPM;NODATA;5.79g/s;null;null;NODATA;Gasoline;30C;NODATA;43km/h;NODATA;0.0%;00:08:21;15.3%;MIL is OFF0 codes;;57.6%;1.0%
1462029747675;42.63712535;-71.35640155;9.0;;101kPa;90C;NODATA;21.6%;NODATA;1314RPM;NODATA;3.79g/s;null;null;NODATA;Gasoline;32C;NODATA;38km/h;NODATA;-0.8%;00:08:28;15.7%;MIL is OFF0 codes;;69.4%;1.0%
1462029753716;42.63651925;-71.35627271;10.0;;101kPa;90C;NODATA;22.7%;NODATA;1039RPM;NODATA;3.14g/s;null;null;NODATA;Gasoline;34C;NODATA;22km/h;NODATA;0.0%;00:08:33;15.3%;MIL is OFF0 codes;;67.1%;0.0%
1462029759776;42.63641039;-71.35626193;9.0;;101kPa;90C;NODATA;29.0%;NODATA;613RPM;NODATA;2.67g/s;null;null;NODATA;Gasoline;35C;NODATA;3km/h;NODATA;-2.3%;00:08:39;14.9%;MIL is OFF0 codes;;66.3%;0.0%
1462029765821;42.63631648;-71.35622076;7.0;;101kPa;91C;NODATA;28.2%;NODATA;637RPM;NODATA;2.35g/s;null;null;NODATA;Gasoline;33C;NODATA;14km/h;NODATA;0.0%;00:08:45;14.5%;MIL is OFF0 codes;;58.4%;0.0%
1462029771866;42.63598984;-71.35613173;5.0;;101kPa;90C;NODATA;48.2%;NODATA;1553RPM;NODATA;11.23g/s;null;null;NODATA;Gasoline;33C;NODATA;29km/h;NODATA;-1.6%;00:08:51;19.6%;MIL is OFF0 codes;;79.6%;1.0%
