This is a logfile generated by pires.obd.readerlat:42.55186826;long:-71.26612661;alt:43.0;vehicleid:;readings:otocol AUTO=OK; Reset OBD=ELM327v1.3a; Echo Off=OK; Timeout=OK; Line Feed Off=OK
TIME;LATITUDE;LONGITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO
1460324582342;42.56188269;-71.29680789;25.0;;null;null;NODATA;null;null;616RPM;null;null;null;null;null;null;null;null;0.00mph;null;null;00:10:58;null;null;null;null;null
1460324586354;42.56181164;-71.29695547;25.0;;null;null;NODATA;null;null;1557RPM;null;null;null;null;null;null;null;null;7.46mph;null;null;00:11:02;null;null;null;null;null
1460324590364;42.56152141;-71.29701934;28.0;;null;null;NODATA;null;null;1726RPM;null;null;null;null;null;null;null;null;18.02mph;null;null;00:11:06;null;null;null;null;null
1460324594377;42.56115001;-71.29699919;27.0;;null;null;NODATA;null;null;1682RPM;null;null;null;null;null;null;null;null;24.85mph;null;null;00:11:10;null;null;null;null;null
1460324598391;42.56061547;-71.29700949;31.0;;null;null;NODATA;null;null;1452RPM;null;null;null;null;null;null;null;null;28.58mph;null;null;00:11:14;null;null;null;null;null
1460324602401;42.56006947;-71.29707028;32.0;;null;null;NODATA;null;null;1651RPM;null;null;null;null;null;null;null;null;33.55mph;null;null;00:11:18;null;null;null;null;null
1460324606414;42.55951521;-71.2972145;33.0;;null;null;NODATA;null;null;1391RPM;null;null;null;null;null;null;null;null;34.80mph;null;null;00:11:21;null;null;null;null;null
1460324610418;42.55897468;-71.29743165;31.0;;null;null;NODATA;null;null;1247RPM;null;null;null;null;null;null;null;null;34.80mph;null;null;00:11:26;null;null;null;null;null
1460324614425;42.55842125;-71.29775459;28.0;;null;null;NODATA;null;null;1337RPM;null;null;null;null;null;null;null;null;38.53mph;null;null;00:11:30;null;null;null;null;null
1460324618430;42.55781257;-71.2981032;26.0;;null;null;NODATA;null;null;1439RPM;null;null;null;null;null;null;null;null;41.01mph;null;null;00:11:33;null;null;null;null;null
